date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:51:59	2071/2071	---MCZ	200	added ('OK')	text/html	date:Fri,%2030%20Mar%202018%2014:43:33%20GMT	https://www.hacg.wiki/	D:/WebCatche/https___www.hacg.wiki_/www.hacg.wiki/index.html	(from )
18:51:59	8527/8527	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Apr%202018%2010:52:11%20GMT	https://www.hacg.wiki/robots.txt		(from )
18:52:00	3971/3971	---MCZ	200	added ('OK')	text/css	etag:W/%2255f19363-1354%22	https://www.hacg.wiki/2/new2.css	D:/WebCatche/https___www.hacg.wiki_/www.hacg.wiki/2/new2.css	(from https://www.hacg.wiki/)
18:52:01	3391/3391	---M--	200	added ('OK')	image/png	etag:%2255f024be-d3f%22	https://www.hacg.wiki/2/img/toptitle01.png	D:/WebCatche/https___www.hacg.wiki_/www.hacg.wiki/2/img/toptitle01.png	(from https://www.hacg.wiki/)
18:52:02	1326/1326	---M--	200	added ('OK')	image/png	etag:%2255f0257d-52e%22	https://www.hacg.wiki/2/img/toptitle02.png	D:/WebCatche/https___www.hacg.wiki_/www.hacg.wiki/2/img/toptitle02.png	(from https://www.hacg.wiki/)
18:52:04	35175/35175	---MC-	200	added ('OK')	text/javascript	date:Thu,%2012%20Apr%202018%2018:13:11%20GMT	http://www.google-analytics.com/analytics.js	D:/WebCatche/https___www.hacg.wiki_/www.google-analytics.com/analytics.js	(from https://www.hacg.wiki/)
18:52:04	33414/33414	---M--	200	added ('OK')	image/png	etag:%2255f11000-8286%22	https://www.hacg.wiki/2/img/toplogo.png	D:/WebCatche/https___www.hacg.wiki_/www.hacg.wiki/2/img/toplogo.png	(from https://www.hacg.wiki/)
18:52:04	85821/85821	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2004:25:56%20GMT	https://www.hacg.wiki/wp/anime.html	D:/WebCatche/https___www.hacg.wiki_/www.hacg.wiki/wp/anime.html	(from https://www.hacg.wiki/)
18:52:04	86780/86780	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2004:26:00%20GMT	https://www.hacg.wiki/wp/	D:/WebCatche/https___www.hacg.wiki_/www.hacg.wiki/wp/index.html	(from https://www.hacg.wiki/)
18:52:05	83658/83658	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2004:32:43%20GMT	https://www.hacg.wiki/wp/comic.html	D:/WebCatche/https___www.hacg.wiki_/www.hacg.wiki/wp/comic.html	(from https://www.hacg.wiki/)
18:52:05	86954/86954	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2004:48:56%20GMT	https://www.hacg.wiki/wp/game.html	D:/WebCatche/https___www.hacg.wiki_/www.hacg.wiki/wp/game.html	(from https://www.hacg.wiki/)
18:52:06	126432/126432	---M--	200	added ('OK')	audio/mpeg	etag:%22565d5d49-1ede0%22	https://www.hacg.wiki/mp3/onj001.mp3	D:/WebCatche/https___www.hacg.wiki_/www.hacg.wiki/mp3/onj001.mp3	(from https://www.hacg.wiki/)
